DATE (YYYY-MM-DD),TEMP (degree_Celsius),LATITUDE (degree_north),LONGITUDE (degree_east)
2020-07-01,13.2,49.1682948,-125.9495351
2020-07-02,13.8,49.1682948,-125.9495351
2020-07-03,13.8,49.1682948,-125.9495351
2020-07-04,14.0,49.1682948,-125.9495351
2020-07-05,14.3,49.1682948,-125.9495351
2020-07-06,14.2,49.1682948,-125.9495351
2020-07-07,14.6,49.1682948,-125.9495351
2020-07-08,14.7,49.1682948,-125.9495351
2020-07-09,13.3,49.1682948,-125.9495351
2020-07-10,13.4,49.1682948,-125.9495351
2020-07-11,13.5,49.1682948,-125.9495351
2020-07-12,14.4,49.1682948,-125.9495351
2020-07-13,14.1,49.1682948,-125.9495351
2020-07-14,14.6,49.1682948,-125.9495351
2020-07-15,14.7,49.1682948,-125.9495351
2020-07-16,14.1,49.1682948,-125.9495351
2020-07-17,14.2,49.1682948,-125.9495351
2020-07-18,13.4,49.1682948,-125.9495351
2020-07-19,14.4,49.1682948,-125.9495351
2020-07-20,13.9,49.1682948,-125.9495351
2020-07-21,14.3,49.1682948,-125.9495351
2020-07-22,13.8,49.1682948,-125.9495351
2020-07-23,14.3,49.1682948,-125.9495351
2020-07-24,13.5,49.1682948,-125.9495351
2020-07-25,13.8,49.1682948,-125.9495351
2020-07-26,14.1,49.1682948,-125.9495351
2020-07-27,13.4,49.1682948,-125.9495351
2020-07-28,13.8,49.1682948,-125.9495351
2020-07-29,14.1,49.1682948,-125.9495351
2020-07-30,13.6,49.1682948,-125.9495351
2020-07-31,13.3,49.1682948,-125.9495351
2020-08-01,14.8,49.1682948,-125.9495351
2020-08-02,15.6,49.1682948,-125.9495351
2020-08-03,14.5,49.1682948,-125.9495351
2020-08-04,15.2,49.1682948,-125.9495351
2020-08-05,15.7,49.1682948,-125.9495351
2020-08-06,15.5,49.1682948,-125.9495351
2020-08-07,15.5,49.1682948,-125.9495351
2020-08-08,15.1,49.1682948,-125.9495351
2020-08-09,14.9,49.1682948,-125.9495351
2020-08-10,14.7,49.1682948,-125.9495351
2020-08-11,15.1,49.1682948,-125.9495351
2020-08-12,15.7,49.1682948,-125.9495351
2020-08-13,15.4,49.1682948,-125.9495351
2020-08-14,14.5,49.1682948,-125.9495351
2020-08-15,14.6,49.1682948,-125.9495351
2020-08-16,14.6,49.1682948,-125.9495351
2020-08-17,15.2,49.1682948,-125.9495351
2020-08-18,14.4,49.1682948,-125.9495351
2020-08-19,15.7,49.1682948,-125.9495351
2020-08-20,15.0,49.1682948,-125.9495351
2020-08-21,15.4,49.1682948,-125.9495351
2020-08-22,14.8,49.1682948,-125.9495351
2020-08-23,14.8,49.1682948,-125.9495351
2020-08-24,15.0,49.1682948,-125.9495351
2020-08-25,15.3,49.1682948,-125.9495351
2020-08-26,14.7,49.1682948,-125.9495351
2020-08-27,14.4,49.1682948,-125.9495351
2020-08-28,15.0,49.1682948,-125.9495351
2020-08-29,14.5,49.1682948,-125.9495351
2020-08-30,15.2,49.1682948,-125.9495351
2020-08-31,15.4,49.1682948,-125.9495351
2020-09-01,14.5,49.1682948,-125.9495351
2020-09-02,14.2,49.1682948,-125.9495351
